company,category,organization
RESIDENCIAL MARGARIDA MARIA,Moradia,$moradia/condominio
RESIDENCIAL VILLA DEI FIORI,Moradia,$moradia/condominio
CONDOMINIO RESIDENCIAL VALPARAISO,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL PREMIATTO,Moradia,$moradia/condominio
CONDOMINIO ARLETE COELHO,Moradia,$moradia/condominio
EDIFICIO RESIDENCIAL LEWGOY,Moradia,$moradia/condominio
RESIDENCIAL PORTO SEGURO,Moradia,$moradia/condominio
RESIDENCIAL LUIZ DE ALMEIDA,Moradia,$moradia/condominio
RESIDENCIAL OURO PRETO,Moradia,$moradia/condominio
RESIDENCIAL MONTE SINAI,Moradia,$moradia/condominio
NEW CENTER CIVIC,Moradia,$moradia/aluguel
AFT ADMINISTRACAO DE BENS,Moradia,$moradia/aluguel
MOLINARI INFORMATICA,Moradia,$moradia/aluguel
FLL CONSTRUCOES,Moradia,$moradia/aluguel
WILLPAR,Moradia,$moradia/aluguel
NIOGY EMPREENDIMENTOS,Moradia,$moradia/aluguel
AIP,Moradia,$moradia/aluguel
CENTRO COMERCIAL MANTIQUEIRA,Moradia,$moradia/aluguel
MEMBECA AGROFLORESTAL LIMITADA,Moradia,$moradia/aluguel
ALEM WIN ADMINISTRADORA DE BENS LTDA,Moradia,$moradia/aluguel
FAZENDA SAO MARCOS,Moradia,$moradia/aluguel
FAREA PATICIPACOES,Moradia,$moradia/aluguel
SRC EMPREENDIMENTO E ALUGUEL DE IMOVEIS PROPRIOS,Moradia,$moradia/aluguel
FERRARI OLIVEIRA EMPREENDIMENTOS,Moradia,$moradia/aluguel
PIRA ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
J C EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
ISC PATRIMONIAL,Moradia,$moradia/aluguel
BBS EMPREENDIMENTOS,Moradia,$moradia/aluguel
J. SANTOS & FILHOS PARTICIPACOES,Moradia,$moradia/aluguel
SX NEGOCIOS IMOBILIARIOS,Moradia,$moradia/aluguel
RB INVESTIMENTOS,Moradia,$moradia/aluguel
CCN ADMINISTRADORA DE IMOVEIS,Moradia,$moradia/aluguel
VITORIA DO SAO LOURENCO,Moradia,$moradia/aluguel
JATOBA EMPREENDIMENTOS,Moradia,$moradia/aluguel
ABC IMOBILIARIA,Moradia,$moradia/aluguel
SLVA ROSA LOCACAO,Moradia,$moradia/aluguel
LUCARELLI EMPREENDIMENTOS,Moradia,$moradia/aluguel
HBR 74 - INVESTIMENTOS IMOBILIARIOS LTDA.,Moradia,$moradia/aluguel
J M EMPREENDIMENTOS,Moradia,$moradia/aluguel
SITIO TURICUM,Moradia,$moradia/aluguel
OLIVEIRA EMPREENDIMENTOS E PARTICIPACOES,Moradia,$moradia/aluguel
JV PAR EMPREENDIMENTOS,Moradia,$moradia/aluguel
S A G,Moradia,$moradia/aluguel
JRM ADMINISTRADORA DE IMOVEIS,Moradia,$moradia/aluguel
PAVESI IMOVEIS,Moradia,$moradia/aluguel
CEMM EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
RESIDENCIAL PREMIUM,Moradia,$moradia/aluguel
WMF IMOVEIS,Moradia,$moradia/aluguel
LBA GESTAO DE MOVEIS,Moradia,$moradia/aluguel
"CB CONSTRUTORA, INCORPORADORA E IMOBILIARIA LTDA",Moradia,$moradia/aluguel
ELALI,Moradia,$moradia/aluguel
JR ADM DE IMOVEIS,Moradia,$moradia/aluguel
3 VARAS EMPREENDIMENTOS,Moradia,$moradia/aluguel
LSS ALUGUEL DE IMOVEIS,Moradia,$moradia/aluguel
LEXUS ADMINISTRADORA,Moradia,$moradia/aluguel
TOLEDO & CAMOLESE ADMINISTRACOES LTDA,Moradia,$moradia/aluguel
PRESTIGE ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
I O PICCOLI NEGOCIOS IMOBILIARIOS,Moradia,$moradia/aluguel
HBR 82 - INVESTIMENTOS IMOBILIARIOS LTDA.,Moradia,$moradia/aluguel
WOOD IMOVEIS,Moradia,$moradia/aluguel
MN EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
BENEDICTO'S HOLDING,Moradia,$moradia/aluguel
FAZENDA DIAMANTE,Moradia,$moradia/aluguel
AP2 GESTAO PATRIMONIAL,Moradia,$moradia/aluguel
SCHUCH ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
ECO IWC,Moradia,$moradia/aluguel
GIOX ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
FS REAL ESTATE & FAMILY OFFICE,Moradia,$moradia/aluguel
IMOBILIARIA GRAUNAS,Moradia,$moradia/aluguel
RIO VERDE ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
LANCES ADMINISTRADORA IMOVEIS,Moradia,$moradia/aluguel
VIA BAHIA,Moradia,$moradia/aluguel
JLPAIXAO PATRIMONIAL,Moradia,$moradia/aluguel
MARINO S,Moradia,$moradia/aluguel
JLC LOCACOES,Moradia,$moradia/aluguel
CK HOLDING LTDA,Moradia,$moradia/aluguel
TRENNEPHOL ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
VERADEUS CORPORATE,Moradia,$moradia/aluguel
LANZARINI ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
MATHUS HOLDING ADM DE BENS,Moradia,$moradia/aluguel
GLORIA IMOVEIS,Moradia,$moradia/aluguel
PREMIUM ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
R7,Moradia,$moradia/aluguel
TAG PATRIMONIAL,Moradia,$moradia/aluguel
LMMBBB ADMINISTRADORA DE IMOVEIS,Moradia,$moradia/aluguel
JPMB PATRIMONIAL,Moradia,$moradia/aluguel
ODORIZZI-INVESTIMENTOS,Moradia,$moradia/aluguel
T.R.I EMPREENDIMENTOS IMOBILIAIROS,Moradia,$moradia/aluguel
ADMTITO,Moradia,$moradia/aluguel
AGRO-RIO,Moradia,$moradia/aluguel
BOQUEIRAO,Moradia,$moradia/aluguel
NELMA,Moradia,$moradia/aluguel
ELCANTO,Moradia,$moradia/aluguel
QUADRANTE IMOVEIS,Moradia,$moradia/aluguel
MONTE CARLO IMOVEIS,Moradia,$moradia/aluguel
2MPR ADMINISTRACAO DE BENS,Moradia,$moradia/aluguel
CBF GESTAO IMOBILIARIA,Moradia,$moradia/aluguel
PLUG DIGITACAO,Moradia,$moradia/aluguel
M & F IMOBILIARIA,Moradia,$moradia/aluguel
THAITI ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
GIARETTA PARTICIPACOES,Moradia,$moradia/aluguel
NOVO VIP,Moradia,$moradia/aluguel
HMA LOCADORA DE IMOVEIS,Moradia,$moradia/aluguel
SBC,Moradia,$moradia/aluguel
VENUS,Moradia,$moradia/aluguel
HCB PARTICIPACAOES,Moradia,$moradia/aluguel
MEGGA,Moradia,$moradia/aluguel
ENGEPOLI,Moradia,$moradia/aluguel
VESTIRE,Moradia,$moradia/aluguel
EMPRESARIAL METROSHOP,Moradia,$moradia/aluguel
PLAZA D'ORO SHOPPING,Moradia,$moradia/aluguel
ARCAJU,Moradia,$moradia/aluguel
OMEGA,Moradia,$moradia/aluguel
MEGA,Moradia,$moradia/aluguel
MELPAR,Moradia,$moradia/aluguel
L&T EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
MAFASA,Moradia,$moradia/aluguel
ARROSIL,Moradia,$moradia/aluguel
VINHAL LOCACOES E CONSTRUCOES LTDA,Moradia,$moradia/aluguel
MATERIAIS DE CONSTRUCAO VALE,Moradia,$moradia/aluguel
LUPUS PROMOCOES,Moradia,$moradia/aluguel
LIDERANCA,Moradia,$moradia/aluguel
FACA FEIRA,Moradia,$moradia/aluguel
NATAL COMERCIO E SERVICOS,Moradia,$moradia/aluguel
ONCOCLIN,Moradia,$moradia/aluguel
A GESTORA DE CONDOMINIOS BRASIL,Moradia,$moradia/aluguel
MEUKARRO,Moradia,$moradia/aluguel
KIMURA E KIMURA,Moradia,$moradia/aluguel
LARANJEIRAS,Moradia,$moradia/aluguel
HOTEL TRENTO,Moradia,$moradia/aluguel
CLINICA DRA. CRISTINA SCREMIN,Moradia,$moradia/aluguel
IMOBILIARIA LAS VEGAS,Moradia,$moradia/aluguel
LUMICA,Moradia,$moradia/aluguel
SHOPPING SCHROEDER,Moradia,$moradia/aluguel
V-SILVEIRA ADMINISTRADORA DE BENS LTDA,Moradia,$moradia/aluguel
IMOBILIARIA BURITI,Moradia,$moradia/aluguel
ANGROTEL,Moradia,$moradia/aluguel
CASA MENA,Moradia,$moradia/aluguel
CERIMONIAL ANA NOIVAS,Moradia,$moradia/aluguel
CONSEL,Moradia,$moradia/aluguel
HABITAOKA CONSTRUCOES,Moradia,$moradia/aluguel
RMS IMOBILIARIA,Moradia,$moradia/aluguel
ALMA BRASILEIRA,Moradia,$moradia/aluguel
CONEF BRASIL,Moradia,$moradia/aluguel
RIPAMA,Moradia,$moradia/aluguel
AURA INVESTIMENTOS,Moradia,$moradia/aluguel
SOMA,Moradia,$moradia/aluguel
MY PLACE,Moradia,$moradia/aluguel
R VIEL,Moradia,$moradia/aluguel
SUPRA,Moradia,$moradia/aluguel
NUNES LAR IMOBILIARIA,Moradia,$moradia/aluguel
ONORARE,Moradia,$moradia/aluguel
SAULEX,Moradia,$moradia/aluguel
LIDERAUTO RENT A CAR E ASSESSORIA IMOBILIARIA,Moradia,$moradia/aluguel
FAZENDA 3R,Moradia,$moradia/aluguel
SUPERMERCADO GAUCHINHO,Moradia,$moradia/aluguel
HEIL,Moradia,$moradia/aluguel
V.T. SERVICOS,Moradia,$moradia/aluguel
COSTABELLA INCORPORACOES,Moradia,$moradia/aluguel
AGIR IMOBILIARIA,Moradia,$moradia/aluguel
DIZAN,Moradia,$moradia/aluguel
IMOBILIARIA AR LTDA,Moradia,$moradia/aluguel
LFX EMPREENDIMENTOS,Moradia,$moradia/aluguel
CRIVELA ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
PERICUMA IMOVEIS,Moradia,$moradia/aluguel
FIESTA EMPREENDIMENTOS,Moradia,$moradia/aluguel
RUSCELLO PARTICIPACOES,Moradia,$moradia/aluguel
DIAMANTE ATIVIDADES IMOBILIARIOS,Moradia,$moradia/aluguel
SF IMOBILIARIA,Moradia,$moradia/aluguel
PSP,Moradia,$moradia/aluguel
GRUPO JIKAL INVEST,Moradia,$moradia/aluguel
JC BRANDAO PATRIMONIAL,Moradia,$moradia/aluguel
LEG ADMINISTRADORA DE BENS,Moradia,$moradia/aluguel
MARQUES & MARQUES REPRESENTACOES,Moradia,$moradia/aluguel
LLCS PARTICIPACOES,Moradia,$moradia/aluguel
LARCOL EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
BRASIL NORTE PARTICIPACOES,Moradia,$moradia/aluguel
SCHMITT & SCHUSTER EMPREENDIMENTOS IMOBILIARIOS LTDA,Moradia,$moradia/aluguel
RR LOCACAO,Moradia,$moradia/aluguel
SAN VITO EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
A&S,Moradia,$moradia/aluguel
MAR AZUL EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
CORDPAR,Moradia,$moradia/aluguel
DANTEVINI,Moradia,$moradia/aluguel
VICCAE IMOVEIS,Moradia,$moradia/aluguel
WALF AGROPECUARIA,Moradia,$moradia/aluguel
PREMIERE ADMINISTRADORA,Moradia,$moradia/aluguel
APALV EMPREENDIMENTOS IMOBILIARIOS,Moradia,$moradia/aluguel
S. H. A. LOCACOES,Moradia,$moradia/aluguel
C G O ALUGUEIS DE IMOVEIS PROPRIOS,Moradia,$moradia/aluguel
INCORPORADORA GURIRI,Moradia,$moradia/aluguel
BARRETO SAMPAIO PATRIMONIAL,Moradia,$moradia/aluguel
J A A IMOBILIARIA,Moradia,$moradia/aluguel
GONCALVES GUERRA,Moradia,$moradia/aluguel
OFICINA.COM,Moradia,$moradia/aluguel
MEIO-FIO IMOVEIS,Moradia,$moradia/aluguel
XTORAG,Moradia,$moradia/aluguel
PMP ADMINISTRACAO E PARTICIPACAO,Moradia,$moradia/aluguel
3A&D PARTICIPACOES LTDA,Moradia,$moradia/aluguel
MENDONCA MELO ADMINISTRADORA,Moradia,$moradia/aluguel
UNIMA PARTICIPACOES,Moradia,$moradia/aluguel
OLIVEIRA MARTINS,Moradia,$moradia/aluguel
SESSO GESTAO PATRIMONIAL,Moradia,$moradia/aluguel
AMAIOR,Moradia,$moradia/aluguel
MOVIMENT MALL,Moradia,$moradia/aluguel
BIARRITZ PATRIMONIAL,Moradia,$moradia/aluguel
ALA INVESTIMENTOS,Moradia,$moradia/aluguel
JB AGRO,Moradia,$moradia/aluguel
STIVAL ADMINISTRADORA DE BENS LTDA,Moradia,$moradia/aluguel
DRELLA ADMINISTRADORA DE IMOVEIS,Moradia,$moradia/aluguel
BANCO MERCANTIL,Moradia,$moradia/aluguel
BANCO ITAU S/A,Moradia,$moradia/aluguel
BANCO BMG S.A.,Moradia,$moradia/aluguel
BANCO SANTANDER,Moradia,$moradia/aluguel
BANCO DIGITAL TRIBANK,Moradia,$moradia/aluguel
BANCO TOPAZIO,Moradia,$moradia/aluguel
BANCO CARGILL,Moradia,$moradia/aluguel
BANCO DO ESTADO DO PARA S/A,Moradia,$moradia/aluguel
